likes,shares,comments,weak_ties,virality_label
low,low,low,low,0
low,low,low,average,0
low,low,low,high,0
low,low,average,low,0
low,low,average,average,0
low,low,average,high,0
low,low,high,low,0
low,low,high,average,0
low,low,high,high,1
low,average,low,low,0
low,average,low,average,0
low,average,low,high,0
low,average,average,low,0
low,average,average,average,0
low,average,average,high,0
low,average,high,low,0
low,average,high,average,0
low,average,high,high,1
low,high,low,low,0
low,high,low,average,0
low,high,low,high,1
low,high,average,low,0
low,high,average,average,0
low,high,average,high,1
low,high,high,low,0
low,high,high,average,0
low,high,high,high,1
average,low,low,low,0
average,low,low,average,0
average,low,low,high,0
average,low,average,low,0
average,low,average,average,0
average,low,average,high,0
average,low,high,low,0
average,low,high,average,0
average,low,high,high,1
average,average,low,low,0
average,average,low,average,0
average,average,low,high,0
average,average,average,low,0
average,average,average,average,0
average,average,average,high,0
average,average,high,low,0
average,average,high,average,0
average,average,high,high,1
average,high,low,low,0
average,high,low,average,0
average,high,low,high,1
average,high,average,low,0
average,high,average,average,0
average,high,average,high,1
average,high,high,low,0
average,high,high,average,0
average,high,high,high,1
high,low,low,low,0
high,low,low,average,0
high,low,low,high,0
high,low,average,low,0
high,low,average,average,0
high,low,average,high,0
high,low,high,low,0
high,low,high,average,0
high,low,high,high,1
high,average,low,low,0
high,average,low,average,0
high,average,low,high,0
high,average,average,low,0
high,average,average,average,0
high,average,average,high,0
high,average,high,low,0
high,average,high,average,0
high,average,high,high,1
high,high,low,low,0
high,high,low,average,0
high,high,low,high,1
high,high,average,low,0
high,high,average,average,0
high,high,average,high,1
high,high,high,low,1
high,high,high,average,1
high,high,high,high,1
