followers,posts,likes,comments,shares,engagement_rate,is_influencer
640590,782,14657,3416,3310,1.1566817043640887,0
83536,784,27312,9763,937,5.455123139930615,0
527671,952,39220,6579,1114,4.557928364163866,0
439035,195,74704,1533,4797,5.6859977146940075,0
669699,991,79063,7555,3216,8.667616077379995,1
162307,168,27367,6375,2746,7.317347259216115,0
56260,82,8993,5811,2938,2.6270274057293133,0
146341,981,97067,2895,883,5.145666761930006,1
233744,208,39756,4545,2744,9.337224167611097,0
352273,798,78342,3832,372,6.118677899370941,1
956528,220,6017,1718,242,3.3766805375601736,0
633415,133,7094,9616,254,3.2706291583613964,0
254532,312,59152,9148,381,6.803981071765376,1
631888,601,41627,5889,1690,7.778367171870628,1
126446,407,10260,1516,2595,6.616520537527821,0
481751,849,2702,4959,3055,7.529235044387706,0
783441,675,74524,9640,3401,8.977928625323626,1
283298,447,63308,537,4418,7.343095231568672,1
24353,569,72029,9569,3353,8.279164716914153,1
876791,705,60071,1361,1926,6.927929690646289,1
711941,261,17437,145,2277,7.743750924611119,1
364068,673,44732,7794,4456,5.669025349807809,0
193977,731,93308,8153,2521,1.7668120181770497,1
973725,620,96885,5633,429,6.437171302943004,1
553457,759,91819,4879,362,5.03799231759316,1
915528,380,70735,6198,2915,1.548074666527366,1
47980,148,85049,9212,1692,4.828348970011742,0
169718,401,48146,6138,2327,9.076709766716952,1
213215,288,90579,3099,387,2.5438063789627954,0
828861,377,66255,4301,2169,8.7784469253036,1
901461,723,96425,9817,3596,7.499017355831485,1
716911,379,22838,3263,1103,2.542680513441443,0
398612,381,71167,6269,1120,4.901759025895313,1
235321,721,31446,8119,4275,2.8095213055732082,0
521009,331,2249,7478,2904,1.5504998680768023,0
627884,898,24703,6675,4859,5.959295102994333,1
933948,84,45641,9864,3183,1.298742685195553,0
728998,723,5558,315,1540,5.9848011300424195,1
441506,347,87102,9028,2539,8.019104485429718,1
822618,504,98041,7177,987,2.594976926752489,1
359308,730,9114,6674,3596,8.737156429701825,1
857382,826,40241,4653,2683,8.407632255673283,1
405112,153,64138,5618,967,4.5835896802225005,0
811555,494,96031,2139,542,5.185359987243477,1
328319,328,43103,9585,1037,3.851235831514128,0
804815,937,95321,2113,2178,5.645809121538369,1
287414,280,5414,4100,3824,4.955640637961602,0
86274,123,95649,6506,3256,6.26960535488459,0
219479,74,88151,5825,16,0.6284708728216237,0
827918,98,23809,4364,4712,7.9269312920886525,1
811240,543,2512,3609,2529,9.567605953511142,1
594386,714,64571,7694,3230,4.927784851793966,1
48512,625,84954,6324,3213,4.712742359062147,0
125307,752,17937,3363,4832,9.199470397751623,0
253655,263,99070,3113,4689,6.979239299386602,0
13472,225,95302,2910,4243,1.5974219374355458,0
624667,22,56409,9293,655,6.7396921818664,1
937630,432,94517,8346,346,2.140224636431239,1
585679,33,12342,5004,935,5.8067091082302715,1
686910,491,96437,6880,962,2.232758139168692,1
512152,870,97883,6538,4177,7.894648133713239,1
818264,600,35620,7765,3151,3.184216113009799,0
311050,813,46217,1416,2665,5.577271391440712,0
414210,792,58352,8310,3474,6.649186132632904,1
12411,824,811,2282,2164,8.186140928272646,1
881780,981,22509,8345,2863,6.556441248166742,1
56656,232,26346,3325,2138,2.2884037536409196,0
571197,122,4083,7144,2911,1.805726372667854,0
252329,761,12360,5253,1614,8.34389461905826,1
862906,977,10199,3716,4568,6.3133243848277685,1
865953,840,34977,8209,1961,0.6526524527664468,0
156637,709,66700,7395,1230,4.197236701605117,1
593183,510,42332,2970,3770,2.1123945222356943,0
525650,949,25610,1533,775,6.951542325479761,1
37155,72,12287,266,4003,4.405098270658026,0
232637,838,52556,2344,1210,8.109664595530232,1
797045,360,18928,786,1096,8.763854989882622,1
489076,781,30764,7949,2067,8.694891115208717,1
631491,733,45946,5188,3198,6.379991685219087,1
304607,932,19044,3166,295,4.889430024823197,0
106224,162,89103,6834,3920,2.608382113459217,0
60190,962,72280,6846,1223,9.355297592590034,1
438230,623,52444,8861,3942,6.1142153786331335,1
398281,576,82287,9314,1536,3.567246629124876,1
994455,47,29417,6262,4676,4.361030872755954,0
254581,546,49572,1725,3929,1.6649833805076752,0
389246,162,66470,9272,1567,9.961203915060054,1
867556,961,75997,4972,644,6.1272096592047145,1
898902,466,48115,8007,905,9.738093159012701,1
698112,453,13105,8563,4370,4.075786793445319,0
383593,595,9157,8012,3687,2.9173607602541662,0
832674,958,77085,9792,4533,2.3849840197275443,1
924360,583,4726,8307,581,5.730003717581507,1
817067,73,98100,5158,4857,9.449558788806735,1
809333,298,18263,5060,3458,5.0024930304787425,1
239964,609,20264,7303,1014,1.3012431069525987,0
38155,261,232,8097,1459,4.798411422309268,0
159586,801,7944,5573,4739,3.740998296079192,0
119088,655,99874,3456,2785,0.6888613969939783,1
987828,147,99811,9933,2079,5.354473672474422,1
390998,933,92617,2874,3397,6.555741838392034,1
55157,343,92333,425,3854,9.676999565460365,0
250983,402,3428,8050,2647,0.1567324929064451,0
329234,785,42516,2695,2086,3.3328259090656385,0
812644,983,87240,1642,4310,8.514228578719717,1
133126,176,71677,4285,3910,9.617178857481385,0
605658,517,81866,8995,1731,3.7111436902679373,1
771749,636,80399,7830,4102,0.598280999088856,1
94813,184,55375,9148,807,1.6994362091384352,0
932177,662,2147,4107,4967,8.001119325000328,1
870612,510,7094,6091,1867,1.5965840462904368,0
944776,678,88274,5072,496,2.1640284540017185,1
833884,483,51666,7792,1191,4.593856304984963,1
525989,831,18717,2621,385,0.5622967341604912,0
402805,365,65997,2032,212,3.2635790228833486,1
377700,63,84916,6064,1070,7.7155755218944275,0
98938,906,5427,397,1098,5.669711309294331,0
521873,309,75501,7336,3719,5.859123668514905,1
864943,856,58134,3959,2804,0.8404028605300229,1
443311,627,28768,7796,1202,2.145487708875083,0
7976,23,75116,7239,3548,8.49151943103713,1
835975,952,82724,3824,1205,7.877933221810482,1
318540,144,60514,8575,1623,2.876371665673323,0
65052,371,99740,4803,2797,5.895032719118262,0
797029,990,81713,38,2475,3.9511358966434287,1
388059,289,42882,3047,1398,8.919772704207547,0
696071,194,61353,3985,2529,0.6429540455867744,0
868753,182,61316,778,918,7.7094852803333715,1
620768,456,82773,7149,4866,8.099879516367842,1
911266,575,96439,5258,36,0.5596240812874254,1
352344,344,10252,4506,3647,3.7844028877269964,0
291116,539,45758,5912,1740,8.28490706307876,1
72289,941,26484,4459,4644,7.274744144480189,0
557993,160,56402,8742,1915,7.7377102463409635,1
648333,954,96542,3159,2106,4.9807463251187825,1
934274,480,12081,8795,1632,1.9121400183907555,0
914374,403,96472,6670,1275,1.1918434720495685,1
850659,541,93317,7027,853,9.49356642548198,1
259144,659,13220,4545,1648,3.4066549093077003,0
875013,272,55328,4898,2688,3.448846045578098,0
681100,904,50291,5603,2403,7.381758087471946,1
514618,267,66645,5116,910,6.465143934900652,1
787567,844,71424,888,4716,2.7982370462764328,1
437612,566,73289,3914,4888,8.993926535233104,1
968606,747,18897,4273,4287,8.072428678769523,1
446478,266,94751,1353,3979,9.164727413333518,0
306627,270,94101,696,4038,9.593994072923502,0
421364,979,20759,8392,1132,4.9338024084057945,0
201054,190,89660,2201,3358,3.637092900860779,0
93403,245,43354,2763,1762,4.839865748393374,0
393255,269,17068,9676,2358,6.822543833870513,0
810498,953,70042,2040,3008,7.873848397734161,1
742946,325,59994,9132,2269,4.25191859492141,1
53186,759,93286,15,714,9.924238513976714,0
324250,707,58512,4318,329,4.2115161116022986,1
773358,600,77267,4122,4547,4.672864613709401,1
30019,732,98220,5536,2493,9.451759074564217,1
146786,435,54440,5805,3414,4.645241097304726,1
126938,760,71364,8155,148,1.8668790400536084,1
801817,492,85713,9025,2908,8.909383670675332,1
740647,579,34372,1901,4555,5.533039419098655,1
147065,968,46800,466,4859,9.62528328207875,0
780146,975,64153,1226,3924,2.5331947711717295,1
517768,873,57854,6059,4902,1.287159603785819,1
330625,334,76446,3576,1913,2.6052772998217364,1
752009,358,23512,3195,2609,1.4551604382562655,0
657651,763,45053,9518,4275,2.238746561440632,0
918550,661,71082,6169,1505,9.3464598965238,1
28519,899,97105,4569,220,5.448199508270044,0
157209,511,86474,6885,395,5.576542247083728,1
511623,960,74576,2701,2304,7.012662033212063,1
110321,86,40716,3878,2939,4.765118680939491,0
406585,812,90526,3754,2768,0.1719387307050313,1
409551,650,23802,6710,4451,7.143194222564395,0
409892,373,92307,2425,2770,7.938461996827532,1
642532,864,51092,6,625,3.6391884436840636,1
331608,845,3068,2590,4480,0.7618428386518794,0
310524,881,71511,146,216,3.1063343904530685,1
977270,442,21429,78,3561,4.907180445489794,0
991170,838,35167,9982,891,7.165294080507952,1
690864,765,17634,2814,1020,9.073641617033237,1
817787,423,96292,1601,745,4.891762329508376,1
888211,598,25917,2723,4962,4.6352635961582465,0
405114,377,12028,2241,253,8.217804358322304,0
722514,502,26132,5177,4890,2.746360321253527,0
920446,164,62430,8317,3413,5.110807570634835,1
445220,345,97820,3974,1461,1.4512793545618263,1
649047,752,33101,7173,3042,4.991293969869163,0
418361,301,69552,9822,3188,3.0632892262628375,1
473283,198,42304,6590,811,8.526766786328814,1
42827,849,62085,158,3626,6.2606240158919775,0
210042,468,97487,8491,3010,0.44894801455751754,1
752197,103,63268,1015,2124,3.242855190174879,0
633157,674,5263,5340,2734,9.475329780779996,1
242913,223,841,6974,1237,8.21373008674242,1
953644,604,18617,5243,2453,1.818856438242532,0
669123,761,45054,8602,2510,9.18749255090231,1
15739,519,41397,2376,2375,9.856452711984279,1
683562,919,97617,6582,1631,0.9989943655410016,1
896008,649,87174,7776,1445,9.43021271700507,1
2755,832,16238,4570,4827,4.351260697970801,0
653788,561,39113,2571,2957,6.151156081733507,1
692518,470,88491,9607,3456,2.8107993860567593,0
72352,618,56235,8200,2165,4.750758824106422,0
477352,233,21682,5632,1009,7.5463550321960335,0
426832,101,47442,1862,2819,4.920165624712032,0
379035,289,81998,1233,1728,8.471973294689379,0
199498,179,71188,3125,695,7.130274359995731,0
864191,805,16761,4711,4617,0.7735957230454626,0
637421,743,95771,2457,2384,6.0683540429541125,0
419182,638,62188,8201,1382,6.125994326603143,1
532976,257,89887,6699,2495,3.8089835239108294,0
761164,370,11176,8459,3605,3.2272392754167134,1
171556,358,57498,7157,1847,0.6288759401030508,0
716215,875,99450,2714,1728,4.46156478438557,1
946057,444,48329,4546,652,3.3659645785146095,0
856714,415,25639,7364,758,9.510628096842508,0
975946,610,67752,7219,1279,6.741743818453513,1
674939,87,27415,7636,441,4.600614105676833,0
145086,467,32657,9583,4504,7.546119806218852,0
49443,595,38217,7541,4905,7.787696375915263,0
174033,401,83383,9274,3488,4.804558915744864,1
975005,23,52622,8485,3573,0.7575780207375749,0
190986,54,17900,2835,4792,7.805511322484789,0
382230,47,11242,8013,4193,0.9028404278784341,0
561685,425,96609,7955,3970,8.47506826505088,0
336446,254,37191,4205,4637,3.3415689260861625,1
465899,71,47601,2154,1526,6.3824096442838085,1
376561,502,64930,5108,190,7.404044529120518,0
244818,617,17910,3923,1873,0.3519246532600062,0
179250,332,93722,6084,3015,3.8461430584519842,1
2063,261,14978,7262,257,6.041430079993941,0
468582,477,49940,3868,154,8.481442472969409,0
403550,70,13606,3790,2991,7.177696831804092,0
76848,790,32031,9036,4093,8.961411642089468,0
943631,128,7421,9899,3902,0.827226711545771,0
168115,96,55729,2007,2275,0.7182200220581159,0
329656,604,2548,1273,3582,7.135249407759726,1
635975,89,7252,6873,4169,3.9852824099781605,1
127230,237,47624,6852,2412,4.816312612509396,0
503926,492,78385,9404,23,6.043160356090224,1
786522,824,70144,7811,1741,9.859414617473108,1
733635,632,90627,2264,3160,0.6716615553693417,0
660429,891,6745,1610,3605,1.0889488942618497,0
262252,319,35830,9610,3371,8.293132356144774,1
915599,592,38049,1786,2091,0.20524261156235402,1
671964,957,37530,4399,1060,4.50454840728404,0
15612,494,30222,3482,3351,7.741182896318359,0
967606,849,9640,6546,460,1.9526882103409304,0
