likes,shares,comments,weak_ties,virality_label
6669,1738,4677,6.776722078434956,1
7296,207,2634,8.321283837371071,1
1525,561,2890,2.4499919987319574,0
4568,2776,3538,7.172080894303125,0
6104,774,2008,9.282127856640376,1
5260,373,2443,7.421057220228252,1
9816,1826,3898,5.531075740183567,1
861,294,568,8.524075374166317,0
5452,2807,465,8.026449711949104,1
5769,4311,870,2.7451726156238854,0
8728,2938,1755,4.2725031647750455,1
8818,3070,4391,8.346768707846536,1
7748,1823,3345,5.484308055837909,1
110,2443,1820,3.863828078072735,0
9300,1522,1210,5.790466379469027,1
3867,3692,2438,3.412155575362962,0
4955,1008,4280,6.859775803388594,0
5429,906,4420,1.0694987362327468,0
4959,942,3080,7.985144541628143,0
1886,4558,2578,1.5087701311258739,1
4167,2035,2297,4.164735923447572,0
9451,4325,2986,6.639811462872162,1
1321,3585,3167,4.4791177685696,0
3622,14,1704,2.399622819291438,0
9540,2431,1921,9.883172581458412,1
1511,538,806,9.84328042659725,0
8452,3952,2821,9.80422709176806,1
9054,3314,3727,2.7334248289308327,1
4409,1773,3872,8.541368450938382,0
6813,596,3226,9.648157079686166,1
7213,4530,4296,8.347337684863158,1
9152,759,2474,7.745884367771061,1
5708,3101,1473,0.54381805518398,0
7379,966,2291,1.1783105214204859,1
2525,2314,2079,9.573445945836928,0
984,2630,1585,8.706297206338203,0
7754,2777,375,0.9606311944195378,1
9566,519,4454,1.8059256596575024,1
4017,2652,53,1.3488681177568929,0
3,1550,141,2.1326120290668826,0
6132,1067,2120,3.163978318614049,0
271,807,289,0.8451353982336807,0
2650,3904,2684,7.782609231347255,0
9223,1390,1196,5.498100951684467,1
6672,301,1464,6.789927474814665,1
4302,2699,1464,4.77279149457778,0
8960,1,1207,4.888128646332968,1
9253,2977,2431,4.215766336710582,1
5447,663,2285,5.944786335346281,0
669,503,1648,2.8820046567818802,0
3697,3369,2775,9.141549567279045,0
2678,2916,3776,3.947148690942016,0
7764,4921,234,9.67978112603138,1
1921,1124,3353,0.7931313613161706,0
6719,3145,546,9.268569168115361,1
8849,3629,1939,9.568155953774415,1
4922,729,2114,9.978240602615818,0
5288,2426,2365,2.271149477637706,0
5211,2884,1248,2.8366607649343134,0
3832,3812,2984,8.104261652111223,0
3132,2524,2735,4.604497226542511,0
4023,2743,2835,5.358323567072128,0
5459,3225,3988,1.438284667368671,0
1672,1925,4995,8.812831780992974,0
9759,916,3858,6.986175730811363,1
8114,4687,2607,0.7410900052027225,1
5223,2923,3342,1.0959451011499932,0
4791,902,3128,9.616057738417382,0
1913,1576,3885,9.52241444703067,0
8008,1944,4596,8.23663759858883,1
9469,4364,2156,7.160210728330232,1
